CHEM_ID	COMP_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB	KEGG
100010928	54949	Lipid	Diacylglycerol	HMDB0007266	
100010929	54950	Lipid	Diacylglycerol	HMDB0007266	
100010933	54952	Lipid	Diacylglycerol	HMDB0007278	
100010937	54961	Lipid	Diacylglycerol	HMDB0007228	
100010939	54965	Lipid	Diacylglycerol	"HMDB0007104,HMDB0007105"	
100010940	54966	Lipid	Diacylglycerol		
100010941	54968	Lipid	Diacylglycerol	HMDB0007248	
100010942	54969	Lipid	Diacylglycerol	HMDB0007248	
100015609	57416	Lipid	Ceramides		
100015624	57372	Lipid	Ceramides		
100015637	57663	Lipid	"Fatty Acid, Monohydroxy"	HMDB0061660	
100015638	61698	Lipid	"Fatty Acid, Monohydroxy"		
100015641	57664	Lipid	Endocannabinoid		
100015642	57697	Lipid	Ceramides		
100015666	57404	Lipid	Phospholipid Metabolism		
100015684	57408	Lipid	Diacylglycerol	HMDB0007016	
100015723	57428	Lipid	Sphingosines		
100015724	57427	Lipid	Sphingosines		
100015727	57437	Lipid	Ceramides		
100015730	57457	Lipid	Hexosylceramides (HCER)		
100015735	57432	Lipid	Ceramides		
100015737	57434	Lipid	Ceramides		
100015744	57443	Lipid	Ceramides		
100015755	57440	Lipid	Ceramides		
100015759	57464	Lipid	Fatty Acid Metabolism (Acyl Choline)		
100015760	57463	Lipid	Fatty Acid Metabolism (Acyl Choline)	HMDB0013213	
100015785	57810	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0013025	
100015786	57476	Lipid	Dihydrosphingomyelins		
100015797	57658	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)		
100015831	57511	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"		
100015833	57513	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	HMDB0006460	
100015834	57515	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"		
100015837	57518	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	HMDB0006455	
100015838	57519	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"		
100015839	57520	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"		
100015842	57522	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	HMDB0062517	
100015853	57532	Lipid	Endocannabinoid		
100015854	57534	Lipid	Endocannabinoid		
100015855	57535	Lipid	Endocannabinoid		
100015862	57541	Lipid	Endocannabinoid	HMDB0013648	
100015863	57542	Lipid	Endocannabinoid		
100015865	57544	Lipid	Sphingolipid Synthesis		C13915
100015870	57597	Lipid	Sphingosines		
100015962	57687	Amino Acid	Lysine Metabolism		
100015965	63152	Xenobiotics	Food Component/Plant	HMDB0029968	
100015966	57635	Cofactors and Vitamins	Vitamin A Metabolism		
100015967	57636	Cofactors and Vitamins	Vitamin A Metabolism		
100015968	57637	Cofactors and Vitamins	Vitamin A Metabolism		
100015988	57774	Lipid	Secondary Bile Acid Metabolism	HMDB0000664	
100016038	57814	Amino Acid	Polyamine Metabolism	"HMDB0002189,HMDB0001276"	"C01029,C00612"
100016069	61769	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	HMDB13326	
100019761	62881	Lipid	Dihydroceramides	HMDB0010697	
100019892	61700	Lipid	"Fatty Acid, Monohydroxy"		
100019894	61699	Lipid	"Fatty Acid, Monohydroxy"	HMDB0039540	C17873
100019915	61705	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	"HMDB0240312,HMDB0011692"	"C03104,C05822"
100019953	62781	Lipid	"Fatty Acid, Branched"		
100019960	61827	Lipid	"Fatty Acid, Monohydroxy"		
100019968	61858	Carbohydrate	Pentose Metabolism		
100019969	62869	Lipid	"Fatty Acid, Dicarboxylate"		
100019972	61864	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000933	
100019975	61862	Lipid	"Fatty Acid, Dicarboxylate"		
100019978	61861	Lipid	"Fatty Acid, Dicarboxylate"		
100019982	61860	Lipid	"Fatty Acid, Dicarboxylate"		
100020207	62061	Xenobiotics	Food Component/Plant		
100020214	62066	Lipid	Primary Bile Acid Metabolism		
100020217	62947	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0240365	
100020219	62863	Xenobiotics	Food Component/Plant	HMDB29737	C08493
100020242	62105	Amino Acid	Polyamine Metabolism	HMDB0002172	C03413
100020272	62857	Xenobiotics	Food Component/Plant	HMDB0041724	
100020343	62850	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0000560	
100020361	62853	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000323	
100020371	63151	Amino Acid	Alanine and Aspartate Metabolism		
100020372	63583	Xenobiotics	Food Component/Plant		
100020377	64131	Xenobiotics	Food Component/Plant	HMDB0029968	
100020378	63357	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000424	
100020407	64041	Xenobiotics	Food Component/Plant	"HMDB0240506,HMDB0240505"	
100020409	63687	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism		
100020417	62862	Amino Acid	Lysine Metabolism	HMDB0013287	C05545
100020419	62566	Amino Acid	Phenylalanine Metabolism		
100020423	62562	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100020425	62559	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100020427	62558	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100020487	62309	Amino Acid	Polyamine Metabolism		
100020513	62707	Amino Acid	Urea cycle; Arginine and Proline Metabolism		
100020546	62954	Amino Acid	Lysine Metabolism		
100020696	62373	Lipid	Galactosyl Glycerolipids		
100020715	62383	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)		C16344
100020723	62396	Nucleotide	Dinucleotide		
100020724	62760	Nucleotide	Dinucleotide		
100020725	62761	Nucleotide	Dinucleotide		
100020727	62397	Nucleotide	Dinucleotide		
100020728	62399	Nucleotide	Dinucleotide		
100020729	62398	Nucleotide	Dinucleotide		
100020769	62449	Lipid	Monoacylglycerol		
100020837	63042	Xenobiotics	Drug - Topical Agents	HMDB0013676	
100020840	62746	Lipid	Endocannabinoid	HMDB0013624	
100020845	62785	Lipid	Secondary Bile Acid Metabolism		
100020859	63118	Lipid	Secondary Bile Acid Metabolism	HMDB0000328	
100020860	63119	Lipid	Secondary Bile Acid Metabolism	HMDB0062742	
100020893	62805	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0240388	
100021000	62851	Lipid	Sphingomyelins		
100021071	64558	Cofactors and Vitamins	Vitamin D Metabolism		
100021092	62887	Xenobiotics	Food Component/Plant		
100021105	62923	Lipid	"Fatty Acid, Dicarboxylate"		
100021123	62959	Amino Acid	Lysine Metabolism		
100021194	63155	Xenobiotics	Food Component/Plant		
100021196	64578	Amino Acid	Urea cycle; Arginine and Proline Metabolism		
100021199	63060	Lipid	Sterol		
100021220	63678	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"		
100021223	63224	Lipid	Endocannabinoid		
100021236	63037	Lipid	Sphingolipid Synthesis	HMDB0038057	
100021237	63038	Lipid	Dihydroceramides		
100021256	63342	Xenobiotics	Benzoate Metabolism	HMDB0125533	
100021277	63160	Amino Acid	Tryptophan Metabolism		
100021372	63739	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0037115	
100021376	63670	Lipid	Fatty Acid Metabolism (Acyl Glycine)		
100021467	63264	Partially Characterized Molecules	Partially Characterized Molecules	HMDB0000892	C00803
100021474	63415	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100021475	63416	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100021478	64596	Amino Acid	Histidine Metabolism		
100021503	63854	Amino Acid	Polyamine Metabolism	HMDB0033458	C00436
100021504	63856	Xenobiotics	Food Component/Plant	HMDB0033469	
100021536	63728	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100021568	64194	Lipid	Sterol		
100021647	63602	Lipid	Secondary Bile Acid Metabolism		
100021650	63607	Lipid	Primary Bile Acid Metabolism	HMDB0002522	
100021652	63609	Lipid	Primary Bile Acid Metabolism	HMDB0002586	
100021654	64505	Peptide	Polypeptide		
100021655	64506	Peptide	Polypeptide		
100021656	64508	Peptide	Polypeptide		
100021666	63615	Partially Characterized Molecules	Partially Characterized Molecules		
100021710	63684	Lipid	"Fatty Acid, Monohydroxy"		
100021922	64281	Amino Acid	Polyamine Metabolism		
100022006	64407	Partially Characterized Molecules	Partially Characterized Molecules		
100022007	64408	Partially Characterized Molecules	Partially Characterized Molecules		
100022041	64571	Peptide	Modified Peptides		
100022120	64568	Amino Acid	Tryptophan Metabolism		
999911612	47431				
999911979	47508				
999912026	47905				
999912027	47510				
999912096	47686				
999912097	47685				
999912100	47687				
999912101	47642				
999912117	47695				
999912411	46616				
999912680	47437				
999913007	47203				
999913723	47965				
999914056	46632				
999914254	47223				
999914383	47230				
999914392	47233				
999914454	47239				
999914904	47204				
999915136	47619				
999915245	46661				
999915853	47266				
999915956	47268				
999916391	47277				
999916580	47804				
999916938	46511				
999917010	47993				
999917162	47806				
999917335	47820				
999917438	46705				
999917749	47283				
999917852	47298				
999917877	47307				
999917919	47317				
999917960	47320				
999917969	47323				
999918059	48039				
999918278	47341				
999918347	47343				
999918410	47346				
999919232	47353				
999919452	47356				
999919746	47357				
999919751	47358				
999919763	47359				
999919911	47362				
999919921	47371				
999920100	47197				
999920172	47196				
999921283	46285				
999921353	46398				
999921788	46964				
999921796	46972				
999921959	47205				
999922062	47308				
999922099	47345				
999922142	47388				
999922772	48077				
999922776	48081				
999923060	48602				
999923105	48650				
999923109	48654				
999923115	48660				
999923190	48886				
999923267	48963				
999923287	48985				
999923438	49298				
999923456	49316				
999923469	49329				
999923470	49330				
999923475	49335				
999923482	49342				
999923587	49463				
999923662	49539				
999923732	49630				
999923737	49635				
999923748	49646				
999923752	49650				
999923753	49651				
999923764	49662				
999923767	49665				
999923782	49681				
999923911	49819				
999924027	52056				
999924137	52166				
999924210	52246				
999924246	52289				
999924359	52555				
999924425	52655				
999924518	52839				
999924609	53024				
999924650	53078				
999924658	53086				
999924663	53091				
999924664	53092				
999924667	53095				
999924668	53096				
999924669	53097				
999924670	53098				
999924672	53100				
999924674	53102				
999924675	53103				
999924683	53111				
999924697	53125				
999924707	53135				
999924712	53140				
999924729	53158				
999924853	54881				
999924854	54882				
999924989	57858				
999925045	61609				
999925053	61617				
999925076	61640				
999925109	61682				
999925111	61684				
999925212	62393				
999925247	62464				
999925326	62619				
999925357	62650				
999925433	62749				
999925475	62899				
999925483	62907				
999925485	62909				
999925487	62911				
999925489	62913				
999925490	62914				
999925492	62926				
999925493	62927				
999925501	62935				
999925502	62936				
999925508	62942				
999925509	62943				
999925511	62945				
999925518	62962				
999925519	62963				
999925521	62965				
999925522	62966				
999925532	63031				
999925533	63032				
999925534	63033				
999925539	63041				
999925563	63098				
999925564	63099				
999925688	63457				
999925701	63470				
999925709	63478				
999925710	63479				
999925716	63485				
999925838	63704				
999925854	63720				
999925858	63746				
999925940	63891				
999925941	63892				
999925946	63897				
999925947	63898				
999925948	63899				
999925950	63901				
999925953	63904				
999925955	63906				
999925957	63908				
999925958	63909				
999926035	64248				
999926068	64343				
999926099	64374				
999926101	64376				
999926126	64647				
